id;ocupacion
3342;Secretarios_jurídicos
3343;Secretarios_administrativos_y_ejecutivos
3344;Secretarios_médicos
34;Profesionales_de_nivel_medio_de_servicios_jurídicos_sociales_culturales_y_afines
341;Profesionales_de_nivel_medio_de_servicios_jurídicos_sociales_y_religiosos
3411;Profesionales_de_nivel_medio_del_derecho_y_servicios_legales_y_afines
343;Profesionales_de_nivel_medio_en_actividades_culturales_artísticas_y_culinarias
3431;Fotógrafos
35;Técnicos_de_la_tecnología_de_la_información_y_las_comunicaciones
351;Técnicos_en_operaciones_de_tecnología_de_la_información_y_las_comunicaciones_y_asistencia_al_usuario
3511;Técnicos_en_operaciones_de_tecnología_de_la_información_y_las_comunicaciones
3512;Técnicos_en_asistencia_al_usuario_de_tecnología_de_la_información_y_las_comunicaciones
3513;Técnicos_en_redes_y_sistemas_de_computadores
3514;Técnicos_de_la_Web
3521;Técnicos_de_radiodifusión_y_grabación_audio_visual
4;Personal_de_apoyo_administrativo
41;Oficinistas
412;Secretarios_general
4120;Secretarios_general
413;Operadores_de_máquinas_de_oficina
4131;Operadores_de_máquinas_de_procesamiento_de_texto_y_mecanógrafos
4132;Grabadores_de_datos
42;Empleados_en_trato_directo_con_el_público
422;Empleados_de_servicios_de_información_al_cliente
4221;Empleados_de_agencias_de_viajes
43;Empleados_contables_y_encargados_del_registro_de_materiales
431;Auxiliares_contables_y_financieros
4311;Empleados_de_contabilidad_y_cálculo_de_costos
4312;Empleados_de_servicios_estadísticos_financieros_y_de_seguros
4313;Empleados_encargados_de_las_nóminas
7;Oficiales_operarios_y_artesanos_de_artes_mecánicas_y_de_otros_oficios
74;Trabajadores_especializados_en_electricidad_y_la_elecrotecnología
741;Instaladores_y_reparadores_de_equipos_eléctricos
7413;Instaladores_y_reparadores_de_líneas_eléctricas_
742;Oficiales_y_operarios_del_tratamiento_de_la_madera_ebanistas_y_afines
7421;Mecánicos_y_reparadores_en_electrónica
7422;Instaladores_y_reparadores_en_tecnología_de_la_información_y_las_comunicaciones
