index;file;ts;esco;onto;value;type
170;f153;2022-11-29T18:57:46;http://data.europa.eu/esco/isco/C26;http://ti-2022-11-2918:12:32.586072.org/onto#26;0.99;INST
113;f154;2022-11-29T18:57:51;http://data.europa.eu/esco/isco/C261;http://ti-2022-11-2918:12:32.586072.org/onto#261;1.0;INST
39;f155;2022-11-29T18:57:57;http://data.europa.eu/esco/isco/C2611;http://ti-2022-11-2918:12:32.586072.org/onto#2611;1.0;INST
230;f1657;2022-11-29T22:01:53;http://data.europa.eu/esco/occupation/974d4eab-fbee-4c52-b16e-73bdd8c25b53;http://ti-2022-11-2918:12:32.586072.org/onto#2611;0.96;INST
122;f156;2022-11-29T18:58:02;http://data.europa.eu/esco/isco/C2612;http://ti-2022-11-2918:12:32.586072.org/onto#2612;1.0;INST
139;f107;2022-11-29T18:53:26;http://data.europa.eu/esco/isco/C2269;http://ti-2022-11-2918:12:32.586072.org/onto#2619;0.93;INST
225;f125;2022-11-29T18:55:16;http://data.europa.eu/esco/isco/C2359;http://ti-2022-11-2918:12:32.586072.org/onto#2619;0.9;INST
169;f157;2022-11-29T18:58:07;http://data.europa.eu/esco/isco/C2619;http://ti-2022-11-2918:12:32.586072.org/onto#2619;1.0;INST
44;f234;2022-11-29T19:05:50;http://data.europa.eu/esco/isco/C3259;http://ti-2022-11-2918:12:32.586072.org/onto#2619;0.87;INST
231;f158;2022-11-29T18:58:12;http://data.europa.eu/esco/isco/C262;http://ti-2022-11-2918:12:32.586072.org/onto#262;0.99;INST
10;f159;2022-11-29T18:58:18;http://data.europa.eu/esco/isco/C2621;http://ti-2022-11-2918:12:32.586072.org/onto#2621;1.0;INST
119;f160;2022-11-29T18:58:23;http://data.europa.eu/esco/isco/C2622;http://ti-2022-11-2918:12:32.586072.org/onto#2622;0.99;INST
155;f172;2022-11-29T18:59:38;http://data.europa.eu/esco/isco/C265;http://ti-2022-11-2918:12:32.586072.org/onto#265;1.0;INST
144;f176;2022-11-29T19:00:01;http://data.europa.eu/esco/isco/C2654;http://ti-2022-11-2918:12:32.586072.org/onto#2654;0.99;INST
50;f180;2022-11-29T19:00:24;http://data.europa.eu/esco/isco/C31;http://ti-2022-11-2918:12:32.586072.org/onto#31;1.0;INST
153;f191;2022-11-29T19:01:31;http://data.europa.eu/esco/isco/C312;http://ti-2022-11-2918:12:32.586072.org/onto#312;1.0;INST
227;f194;2022-11-29T19:01:49;http://data.europa.eu/esco/isco/C3123;http://ti-2022-11-2918:12:32.586072.org/onto#3123;1.0;INST
207;f2166;2022-11-29T23:09:05;http://data.europa.eu/esco/occupation/e575efca-c3e4-43fe-8c46-327d310f795e;http://ti-2022-11-2918:12:32.586072.org/onto#3123;0.89;INST
189;f2346;2022-11-29T23:33:31;http://data.europa.eu/esco/occupation/05ebeb56-6ceb-488d-ba91-ed15088efc8e;http://ti-2022-11-2918:12:32.586072.org/onto#3123;0.88;INST
223;f711;2022-11-29T19:57:30;http://data.europa.eu/esco/occupation/0dd7e6cd-2e5a-4fae-9ce0-6a3622d4019f;http://ti-2022-11-2918:12:32.586072.org/onto#3123;0.88;INST
163;f1731;2022-11-29T22:11:57;http://data.europa.eu/esco/occupation/a241eff8-309b-43ae-8890-ac4cfbd3067c;http://ti-2022-11-2918:12:32.586072.org/onto#313;0.85;INST
67;f195;2022-11-29T19:01:54;http://data.europa.eu/esco/isco/C313;http://ti-2022-11-2918:12:32.586072.org/onto#313;1.0;INST
47;f201;2022-11-29T19:02:30;http://data.europa.eu/esco/isco/C3139;http://ti-2022-11-2918:12:32.586072.org/onto#3139;1.0;INST
258;f1171;2022-11-29T20:57:47;http://data.europa.eu/esco/occupation/53be4843-8f31-4645-b25c-9a5bbb04f6b6;http://ti-2022-11-2918:12:32.586072.org/onto#313b;0.87;INST
172;f2456;2022-11-29T23:48:21;http://data.europa.eu/esco/occupation/1c36dd08-f6a7-43f2-a889-beebedb71c25;http://ti-2022-11-2918:12:32.586072.org/onto#313b;0.97;INST
105;f1869;2022-11-29T22:30:04;http://data.europa.eu/esco/occupation/b5eaf231-77ad-4a86-8e54-15cc4398aad2;http://ti-2022-11-2918:12:32.586072.org/onto#313c;0.94;INST
198;f212;2022-11-29T19:03:36;http://data.europa.eu/esco/isco/C32;http://ti-2022-11-2918:12:32.586072.org/onto#32;1.0;INST
98;f225;2022-11-29T19:04:55;http://data.europa.eu/esco/isco/C325;http://ti-2022-11-2918:12:32.586072.org/onto#32;0.96;INST
211;f213;2022-11-29T19:03:42;http://data.europa.eu/esco/isco/C321;http://ti-2022-11-2918:12:32.586072.org/onto#321;1.0;INST
8;f214;2022-11-29T19:03:47;http://data.europa.eu/esco/isco/C3211;http://ti-2022-11-2918:12:32.586072.org/onto#3211;1.0;INST
132;f235;2022-11-29T19:05:57;http://data.europa.eu/esco/isco/C33;http://ti-2022-11-2918:12:32.586072.org/onto#33;1.0;INST
103;f236;2022-11-29T19:06:02;http://data.europa.eu/esco/isco/C331;http://ti-2022-11-2918:12:32.586072.org/onto#331;1.0;INST
171;f237;2022-11-29T19:06:07;http://data.europa.eu/esco/isco/C3311;http://ti-2022-11-2918:12:32.586072.org/onto#3311;0.99;INST
265;f1602;2022-11-29T21:54:40;http://data.europa.eu/esco/occupation/8e185c49-704e-49c0-8584-a7e0b618f628;http://ti-2022-11-2918:12:32.586072.org/onto#3312;0.86;INST
202;f238;2022-11-29T19:06:12;http://data.europa.eu/esco/isco/C3312;http://ti-2022-11-2918:12:32.586072.org/onto#3312;1.0;INST
200;f1967;2022-11-29T22:42:48;http://data.europa.eu/esco/occupation/c3aae59e-1441-4b3e-bdd1-6da50dc7cf42;http://ti-2022-11-2918:12:32.586072.org/onto#3313;0.96;INST
176;f239;2022-11-29T19:06:18;http://data.europa.eu/esco/isco/C3313;http://ti-2022-11-2918:12:32.586072.org/onto#3313;1.0;INST
177;f240;2022-11-29T19:06:23;http://data.europa.eu/esco/isco/C3314;http://ti-2022-11-2918:12:32.586072.org/onto#3314;1.0;INST
95;f241;2022-11-29T19:06:28;http://data.europa.eu/esco/isco/C3315;http://ti-2022-11-2918:12:32.586072.org/onto#3315;1.0;INST
75;f242;2022-11-29T19:06:34;http://data.europa.eu/esco/isco/C332;http://ti-2022-11-2918:12:32.586072.org/onto#332;1.0;INST
267;f1724;2022-11-29T22:10:58;http://data.europa.eu/esco/occupation/a198de8c-24b1-4002-982f-a57ae6d6c19c;http://ti-2022-11-2918:12:32.586072.org/onto#3321;0.98;INST
27;f243;2022-11-29T19:06:40;http://data.europa.eu/esco/isco/C3321;http://ti-2022-11-2918:12:32.586072.org/onto#3321;1.0;INST
121;f385;2022-11-29T19:20:35;http://data.europa.eu/esco/isco/C5414;http://ti-2022-11-2918:12:32.586072.org/onto#3321;0.86;INST
249;f244;2022-11-29T19:06:45;http://data.europa.eu/esco/isco/C3322;http://ti-2022-11-2918:12:32.586072.org/onto#3322;1.0;INST
212;f754;2022-11-29T20:03:08;http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2;http://ti-2022-11-2918:12:32.586072.org/onto#3322;0.96;INST
219;f245;2022-11-29T19:06:50;http://data.europa.eu/esco/isco/C3323;http://ti-2022-11-2918:12:32.586072.org/onto#3323;1.0;INST
224;f3383;2022-11-30T01:53:32;http://data.europa.eu/esco/occupation/dbdc9f7b-31c6-4f21-a9c5-48253bb69c08;http://ti-2022-11-2918:12:32.586072.org/onto#3323;0.98;INST
112;f899;2022-11-29T20:22:08;http://data.europa.eu/esco/occupation/29fa406d-de89-4515-be8d-0fe7bda993f1;http://ti-2022-11-2918:12:32.586072.org/onto#3323;0.98;INST
52;f246;2022-11-29T19:06:55;http://data.europa.eu/esco/isco/C3324;http://ti-2022-11-2918:12:32.586072.org/onto#3324;1.0;INST
148;f247;2022-11-29T19:07:01;http://data.europa.eu/esco/isco/C333;http://ti-2022-11-2918:12:32.586072.org/onto#333;1.0;INST
21;f248;2022-11-29T19:07:06;http://data.europa.eu/esco/isco/C3331;http://ti-2022-11-2918:12:32.586072.org/onto#3331;1.0;INST
140;f249;2022-11-29T19:07:11;http://data.europa.eu/esco/isco/C3332;http://ti-2022-11-2918:12:32.586072.org/onto#3332;1.0;INST
